moveType,moves,avg_delta,median_delta,p90_delta,p10_delta,avg_move_value,median_move_value
concede,66,0.0,0.0,0.0,0.0,0.0,0.0
counter,2804,0.05135520684736091,1.0,1.0,-1.0,0.05135520684736091,1.0
deal,2333,0.0,0.0,0.0,0.0,0.0,0.0
draw,28832,0.03686875693673696,0.0,1.0,-1.0,0.03686875693673696,0.0
faceCard,8537,-0.035375424622232636,-0.5,1.0,-1.0,-0.035375424622232636,-0.5
fizzle,2142,-0.007469654528478058,0.0,0.0,0.0,-0.007469654528478058,0.0
jack,2597,-0.030612244897959183,-1.0,3.0,-3.0,-0.030612244897959183,-1.0
oneOff,17328,-0.00034626038781163435,-1.0,1.0,-1.0,-0.00034626038781163435,-1.0
pass,450,0.0,0.0,0.0,0.0,0.0,0.0
points,11482,-0.07489984323288626,-1.0,1.0,-1.0,-0.07489984323288626,-1.0
resolve,16228,0.01466600936652699,0.0,2.0,-2.0,0.01466600936652699,0.0
resolveFive,3127,-0.05612408058842341,-1.0,2.0,-2.0,-0.05612408058842341,-1.0
resolveFour,2344,-0.08383105802047781,-1.5,2.0,-2.0,-0.08383105802047781,-1.5
resolveThree,2398,-0.039616346955796494,-1.0,1.0,-1.0,-0.039616346955796494,-1.0
scuttle,2735,0.07111517367458867,1.0,1.0,-1.0,0.07111517367458867,1.0
sevenDiscard,10,0.05,0.0,0.04999999999999982,0.0,0.05,0.0
sevenFaceCard,568,-0.006161971830985915,0.0,2.0,-2.0,-0.006161971830985915,0.0
sevenJack,86,0.09883720930232558,3.0,4.0,-4.0,0.09883720930232558,3.0
sevenOneOff,1042,0.0,0.0,0.0,0.0,0.0,0.0
sevenPoints,671,-0.11624441132637854,-1.5,2.0,-2.0,-0.11624441132637854,-1.5
sevenScuttle,77,0.5974025974025974,2.0,2.0,-2.0,0.5974025974025974,2.0
stalemateAccept,89,0.0,0.0,0.0,0.0,0.0,0.0
stalemateReject,8,0.0,0.0,0.0,0.0,0.0,0.0
stalemateRequest,97,0.0,0.0,0.0,0.0,0.0,0.0
